2018250104457;8.60;2.39;6.88;8.36
2018250101584;6.42;2.84;3.28;3.37
2018250104873;1.02;1.05;3.92;1.50
2018250106097;7.38;1.23;3.28;4.88
2018250107791;5.79;7.18;6.94;3.51
2018250105724;4.72;1.21;1.64;9.19
2018250101306;6.32;4.36;7.94;6.03
2018250103046;1.43;1.90;1.51;8.06
2018250108046;5.69;2.93;5.17;7.00
2018250102234;7.18;7.48;2.17;2.30
2018250107067;9.39;2.66;6.09;4.27
2018250108943;6.99;4.47;9.37;5.84
2018250105864;8.55;1.00;4.89;4.89
2018250106771;2.35;7.06;6.67;3.03
2018250102162;3.34;9.40;6.73;9.12
2018250108559;5.39;5.43;1.14;1.08
2018250102843;7.93;7.82;5.14;2.19
2018250109185;2.71;3.07;3.59;6.15
2018250103177;7.22;4.32;9.49;6.99
2018250101435;2.44;2.15;7.02;9.91
2018250103814;2.51;4.49;2.82;8.66
2018250106101;9.06;3.24;6.88;3.35
2018250106612;5.82;5.19;1.31;8.78
2018250104746;6.66;5.74;7.14;5.52
2018250105224;3.75;7.16;5.28;1.55
2018250108572;6.67;6.39;1.90;9.56
2018250101924;4.40;3.08;5.43;6.88
2018250106776;5.78;4.72;4.11;3.98
2018250103347;2.70;2.14;3.36;9.03
2018250106343;6.80;7.61;8.58;8.32
2018250102952;3.16;3.84;7.44;4.52
2018250109367;3.08;8.13;3.44;1.33
2018250108579;5.36;5.42;8.42;2.06
2018250101686;8.19;8.29;1.56;9.75
2018250101674;3.94;7.88;8.63;7.62
2018250101637;8.20;7.46;2.34;9.48
2018250103284;5.35;5.86;8.47;5.20
2018250102173;9.60;4.58;1.59;5.81
2018250103185;5.55;6.05;8.12;3.36
2018250105304;6.77;8.94;8.81;8.57
2018250105202;7.06;6.91;2.38;7.74
2018250101365;4.20;2.52;8.28;6.02
2018250102525;3.78;7.16;3.20;6.52
2018250106701;5.90;1.91;8.70;3.31
2018250106228;6.58;9.43;6.80;5.02
2018250108898;6.63;9.39;6.43;7.37
2018250109194;5.14;9.05;2.49;5.34
2018250109339;9.58;3.59;5.20;7.48
2018250107565;2.10;7.94;2.64;4.54
2018250100695;7.18;6.69;4.83;5.84
2018250109206;6.71;6.75;1.44;9.27
2018250107953;8.27;9.03;3.74;1.71
2018250109093;6.14;1.11;9.83;7.81
2018250108008;2.01;9.35;2.48;6.88
2018250109926;4.82;9.00;2.87;7.58
2018250102378;7.62;9.64;9.61;5.20
2018250104026;2.17;4.98;4.86;3.38
2018250102421;9.33;3.36;1.18;5.31
2018250109998;8.49;5.53;1.74;4.32
2018250107616;4.27;1.57;6.70;8.10
2018250106547;5.56;5.07;9.78;3.01
2018250109911;3.12;4.47;5.49;1.30
2018250108668;4.97;4.92;7.22;4.25
2018250102076;2.14;6.00;8.60;6.47
2018250102274;8.07;7.91;4.37;7.43
2018250101586;7.23;3.33;4.24;7.77
2018250109073;4.93;1.33;9.57;5.44
2018250105618;8.95;9.66;4.45;2.44
2018250101436;7.41;7.88;1.93;8.94
2018250109274;2.36;1.72;1.61;1.26
2018250109173;2.93;9.30;3.81;6.17
2018250106196;4.86;7.17;8.23;1.71
2018250100048;2.29;3.68;6.23;5.62
2018250109483;9.55;4.91;9.30;1.45
2018250103511;2.56;9.12;7.05;6.64
2018250100393;9.82;5.88;6.07;7.28
2018250109346;1.88;6.74;1.55;4.10
2018250109716;3.06;5.47;2.25;1.62
2018250103958;3.31;9.90;8.12;9.92
2018250100575;4.08;8.80;1.13;6.09
2018250102555;6.38;8.11;2.13;9.35
2018250104756;1.21;2.28;2.63;4.82
2018250108696;8.13;1.12;7.30;6.98
2018250109988;4.76;3.14;5.99;8.77
2018250103888;5.03;2.67;7.22;7.59
2018250102676;2.85;7.28;2.24;5.25
2018250107342;6.70;4.91;1.40;2.57
2018250102367;6.92;7.25;3.79;7.41
2018250102366;7.87;7.39;4.16;5.11
2018250102627;6.59;1.33;2.68;9.93
2018250104406;1.88;8.41;2.89;3.39
2018250103375;6.08;8.74;2.34;1.17
2018250107603;4.99;4.58;9.30;2.92
2018250103466;2.02;2.01;3.14;3.17
2018250101759;8.38;6.86;9.60;2.85
2018250105061;6.37;5.83;1.43;6.09
2018250104231;2.51;6.35;5.39;6.01
2018250104075;5.57;7.05;6.71;8.26
2018250102301;9.48;6.82;6.33;4.31
2018250101121;6.85;1.06;9.92;1.84
2018250100723;4.14;2.72;5.52;1.68
2018250105087;9.04;1.10;1.65;4.40
2018250103931;8.00;5.57;1.88;4.61
2018250104237;3.21;2.59;1.47;6.84
2018250102805;8.58;9.74;5.37;6.73
2018250105784;4.59;4.45;6.27;4.19
2018250104161;3.76;4.75;4.98;5.87
2018250107295;7.42;5.72;1.96;2.30
2018250106626;6.95;9.42;6.16;3.74
2018250104104;2.38;2.45;9.07;6.72
2018250106117;9.70;6.24;5.74;8.19
2018250105423;3.73;1.29;3.65;3.22
2018250108576;9.88;5.48;6.16;8.95
2018250107388;6.42;6.78;2.20;1.18
2018250109401;6.46;6.98;2.74;8.78
2018250101421;5.31;7.96;2.11;9.24
2018250104889;6.52;3.54;4.65;9.52
2018250100565;2.90;6.96;1.85;6.84
2018250109838;4.78;3.32;6.93;9.14
2018250105162;1.13;4.33;2.64;9.48
2018250102607;2.80;6.39;7.42;8.23
2018250100895;7.08;9.62;1.88;5.18
2018250102178;6.68;1.44;3.17;4.70
2018250108907;1.41;3.97;2.12;5.68
2018250109553;4.05;6.30;7.23;1.68
2018250105981;1.33;6.04;9.81;6.76
2018250106248;4.83;5.76;4.44;3.50
2018250100826;2.33;3.78;3.98;7.94
2018250104884;2.99;2.57;3.69;5.41
2018250107811;8.84;4.27;7.29;6.62
2018250106527;9.64;1.04;3.40;4.52
2018250104497;4.21;5.39;4.23;6.08
2018250105292;2.00;7.36;1.15;6.51
2018250103063;1.49;1.36;2.24;7.91
2018250105477;2.21;3.88;3.89;4.13
2018250104108;9.56;1.65;3.32;1.82
2018250102754;1.23;6.82;9.89;5.72
2018250103655;9.85;5.69;4.07;9.80
2018250105142;4.05;8.86;9.65;5.38
